,Neighborhood,Borough,Longitude,Latitude,Borough_code,Calls,Calls (log)
0,Allerton,Bronx,-73.85842369722872,40.865255759416264,0,1557,3.1922886125681202
1,Alley Pond Park,Queens,-73.74743524515948,40.75117125122094,3,160,2.2041199826559246
2,Arden Heights,Staten Island,-74.18149300000006,40.553635052258876,4,552,2.7419390777291985
3,Arlington,Staten Island,-74.15944692603162,40.642855747777546,4,154,2.187520720836463
4,Arrochar,Staten Island,-74.07332744672698,40.59241714766734,4,236,2.3729120029701067
5,Arverne,Queens,-73.79671792913538,40.59463175778865,3,633,2.8014037100173548
6,Astoria,Queens,-73.91946504447587,40.765806315969975,3,4241,3.6274682724597094
7,Bath Beach,Brooklyn,-74.00662241817098,40.603360712937594,1,1015,3.0064660422492313
8,Battery Park City,Manhattan,-74.01589127312252,40.70959851785884,2,213,2.3283796034387376
9,Bay Ridge,Brooklyn,-74.02820222536477,40.630071134953454,1,1935,3.28668096935493
10,Bay Terrace,Queens,-73.78305562268719,40.78526339844965,3,454,2.6570558528571038
11,"Bay Terrace, Staten Island",Staten Island,-74.1382115621478,40.55842650709875,4,197,2.294466226161593
12,Baychester,Bronx,-73.8413778913129,40.870347873209795,0,643,2.8082109729242215
13,Bayside,Queens,-73.76802403939348,40.75868744933895,3,558,2.746634198937578
14,Bayswater,Queens,-73.76381492601382,40.605257827725126,3,601,2.778874472002739
15,Bayswater,Queens,-73.7703425990005,40.61788929669498,3,601,2.778874472002739
16,Bedford-Stuyvesant,Brooklyn,-73.93368908718017,40.68845750000025,1,8619,3.9354568807116093
17,Belle Harbor,Queens,-73.85173807635587,40.575868392527596,3,86,1.9344984512435675
18,Bellerose,Queens,-73.72865500241568,40.73832344512246,3,409,2.611723308007342
19,Belmont,Bronx,-73.88888011193228,40.853699516429884,0,3014,3.4791432479786124
20,Bensonhurst,Brooklyn,-73.9923573318367,40.613310776931,1,2135,3.3293978793610424
21,Bergen Beach,Brooklyn,-73.9041411913902,40.6194593707125,1,390,2.591064607026499
22,Bloomfield,Staten Island,-74.18564814187297,40.617492883502976,4,4,0.6020599913279623
23,Boerum Hill,Brooklyn,-73.98532449999995,40.686426713739586,1,1334,3.12515582958053
24,Borough Park,Brooklyn,-73.99276676093456,40.62857010164209,1,1282,3.1078880251827985
25,Breezy Point,Queens,-73.90169804670319,40.5586055871308,3,66,1.8195439355418683
26,Briarwood,Queens,-73.81439695750751,40.71017831502712,3,2082,3.318480725174517
27,Brighton Beach,Brooklyn,-73.96754825527863,40.577886276218585,1,1936,3.2869053529723744
28,Broad Channel,Queens,-73.83815834351233,40.592772967177424,3,37,1.5682017240669948
29,Broad Channel,Queens,-73.8124326803556,40.60129843274014,3,37,1.5682017240669948
