,Neighborhood,Longitude,Latitude,Borough_code,Arrests,Arrests (log)
0,Allerton,-38.40638032255893,28.19702647399722,0,1.1918194804680309,0.07621047975517861
1,Alley Pond Park,-38.34866632748293,28.118308163342444,3,0.04012658552329551,-1.3965677939537016
2,Arden Heights,-38.57437636000003,27.98200818605862,4,0.06887399007729826,-1.1619447563009164
3,Arlington,-38.562912401536444,28.043570465966503,4,0.08803892644663344,-1.0553252619063518
4,Arrochar,-38.51813027229803,28.008767831890463,4,0.06048933041571413,-1.2183212228718854
5,Arverne,-38.374293323150404,28.010295912874163,3,0.43001325978695787,-0.3665181524122277
6,Astoria,-38.43812182312745,28.12840635801928,3,1.7410146883017918,0.24080243511589972
7,Bath Beach,-38.48344365744891,28.016318891926936,1,0.7132949754961934,-0.1467308351717505
8,Battery Park City,-38.48826346202371,28.0896229773226,2,0.13894578867767998,-0.8571546117636283
9,Bay Ridge,-38.49466515718968,28.03474908311788,1,0.8396637746814971,-0.07589458302388818
10,Bay Terrace,-38.367188923797336,28.141831744930258,3,0.04671453240025448,-1.3305479939640474
11,"Bay Terrace, Staten Island",-38.55187001231686,27.985314289898135,4,0.04431891535408758,-1.3534108769235516
12,Baychester,-38.39751650348271,28.200540032514755,0,1.0337087554210158,0.014398194724662788
13,Bayside,-38.35937250048461,28.123494340043873,3,0.3922822913098293,-0.40640129666274494
14,Bayswater,-38.35888095650373,28.021985757924934,3,0.03773096847712862,-1.423302047200946
15,Bedford-Stuyvesant,-38.44551832533369,28.07503567500017,1,5.3721712260292644,0.7301498463895639
16,Belle Harbor,-38.40290379970506,27.99734919084404,3,0.02215945767704379,-1.6544408725875328
17,Bellerose,-38.33890060125616,28.109443177134494,3,0.09043454349280033,-1.0436656493613585
18,Belmont,-38.42221765820479,28.189052666336618,0,1.5978765697933197,0.2035432285899833
19,Bensonhurst,-38.476025812555086,28.02318443608239,1,0.6096845382494751,-0.21489481865378807
20,Bergen Beach,-38.4301534195229,28.027426965791623,1,0.1467315440777224,-0.8334765122899954
21,Bloomfield,-38.576537033773945,28.02607008961705,4,0.0071868511385006885,-2.143461350606903
22,Boerum Hill,-38.47236873999997,28.07363443248031,1,0.6785585283267733,-0.16841268679113078
23,Borough Park,-38.47623871568597,28.03371337013304,1,0.5210467075412999,-0.28312334403590955
24,Breezy Point,-38.42888298428566,27.98543785512025,3,0.0023956170461668963,-2.6205826053265655
25,Briarwood,-38.38348641790391,28.090023037368713,3,0.9450709247128406,-0.024535597781126517
26,Brighton Beach,-38.46312509274489,27.99874153059082,1,0.9450709247128406,-0.024535597781126517
27,Broad Channel,-38.384686738644845,28.021021034450616,3,0.03114302160016965,-1.5066392530197288
28,Bronx Park,-38.41555409076404,28.19342384700449,0,0.12636879918530378,-0.8983601413568354
29,Bronxdale,-38.40884747051301,28.18921778115176,0,0.3856943444328703,-0.4137567292947159
30,Brooklyn Heights,-38.47855828952489,28.08060854904214,1,0.03114302160016965,-1.5066392530197288
31,Brownsville,-38.434466234483835,28.05774085384419,1,12.076305529727325,1.0819340921115848
32,Bull's Head,-38.56299330000003,28.017473888423886,4,0.0449178196156293,-1.347581333262828
33,Bushwick,-38.439109412937185,28.07938109834994,1,3.908449210821291,0.592004472797328
34,Cambria Heights,-38.343768808650054,28.07796416888421,3,0.7971415721120347,-0.0984645411798529
35,Canarsie,-38.42799976824626,28.041562419627805,1,2.5381562604138264,0.40451835572024764
36,Carroll Gardens,-38.47806402105953,28.068728384999996,1,0.5084697180489237,-0.2937349064105753
37,Castle Hill,-38.40122812822848,28.165008573401213,0,0.7755810186965326,-0.11037282823725741
38,Castleton Corners,-38.54366567999997,28.026269579999997,4,0.18625922533947617,-0.7298822076276905
39,Central Park,-38.46205098432673,28.13985836453841,2,0.28747404554002753,-0.5414013592789408
40,Charleston,-38.60096334571285,27.97396494223749,4,0.030544117338627927,-1.5150724205565915
41,Chelsea,-38.48002107007866,28.11486523522689,2,2.250682214873799,0.35231417910997875
42,"Chelsea, Staten Island",-38.57985877811571,28.006936468460683,4,0.029945213077086204,-1.523672592318509
43,Chinatown,-38.47809888,28.094080620043034,2,0.6995201774807337,-0.15519975387814736
44,City Island,-38.36888465886643,28.188955310165497,0,0.02814850029246103,-1.5505447387188105
45,Civic Center,-38.48165984,28.09289425500011,2,1.2918364921454988,0.111207548448017
46,Claremont Village,-38.431233491529774,28.178688855000193,0,1.0953958943598132,0.039571108821888794
