Neighborhood,Longitude,Latitude,Borough_code,mean_2019,predicted_from_neighbors,historic_est,predicted_from_sales,predicted_rt,imputed,rent_quant
Allerton,-38.40638032255893,28.19702647399722,0,,1554.5277777777776,,,1545.9241382074717,1545.9241382074717,0
Alley Pond Park,-38.34866632748293,28.118308163342444,3,,1819.8611111111113,,,1771.3927831890333,1771.3927831890333,2
Arden Heights,-38.57437636000003,27.98200818605862,4,,1889.324074074074,,,1914.7180928330927,1914.7180928330927,3
Arlington,-38.562912401536444,28.043570465966503,4,,1665.229797979798,,,1711.988332090749,1711.988332090749,1
Arrochar,-38.51813027229803,28.008767831890463,4,,1658.027777777778,,,1711.988332090749,1711.988332090749,1
Arverne,-38.374293323150404,28.010295912874163,3,,1827.280303030303,,,1771.3927831890333,1771.3927831890333,2
Astoria,-38.43812182312745,28.12840635801928,3,1957.6666666666667,2323.0833333333335,2119.021324928043,2045.4231450504562,2181.653402692986,1957.6666666666667,3
Bath Beach,-38.48344365744891,28.016318891926936,1,1614.0,1596.45202020202,1579.7702863673017,2124.705797341528,1595.1466708754206,1614.0,0
Battery Park City,-38.48826346202371,28.0896229773226,2,3987.5,4327.916666666667,3688.0861397428575,3575.7695513427525,4111.152108555025,3987.5,4
Bay Ridge,-38.49466515718968,28.03474908311788,1,1698.4166666666667,1637.7575757575758,1815.7090353657532,1855.9788894636908,1693.768918751002,1698.4166666666667,1
Bay Terrace,-38.367188923797336,28.141831744930258,3,,1736.527777777778,,,1735.2590816498318,1735.2590816498318,1
"Bay Terrace, Staten Island",-38.55187001231686,27.985314289898135,4,,1889.324074074074,,,1914.7180928330927,1914.7180928330927,3
Baychester,-38.39751650348271,28.200540032514755,0,,1593.3333333333333,,,1599.9447558922557,1599.9447558922557,0
Bayside,-38.35937250048461,28.123494340043873,3,1871.9166666666667,1819.8611111111113,1869.7717735751326,1937.2163089075198,1778.1284080888252,1871.9166666666667,2
Bayswater,-38.35888095650373,28.021985757924934,3,,1813.8636363636363,,,1739.0006619769122,1739.0006619769122,2
Bedford-Stuyvesant,-38.44551832533369,28.07503567500017,1,2221.75,2243.1666666666665,2060.5768804835984,2273.7994143836204,2203.694791581875,2221.75,3
Belle Harbor,-38.40290379970506,27.99734919084404,3,,1751.7777777777776,,,1734.8021133958634,1734.8021133958634,1
Bellerose,-38.33890060125616,28.109443177134494,3,,1819.8611111111113,,,1771.3927831890333,1771.3927831890333,2
Belmont,-38.42221765820479,28.189052666336618,0,1548.0,1562.0833333333333,1634.698709430053,,1560.519241622575,1548.0,0
Bensonhurst,-38.476025812555086,28.02318443608239,1,1584.0833333333333,1599.6464646464647,1660.6065581149815,2391.5060100624173,1595.1466708754206,1584.0833333333333,0
Bergen Beach,-38.4301534195229,28.027426965791623,1,,1705.861111111111,,,1740.6819387926892,1740.6819387926892,2
Bloomfield,-38.576537033773945,28.02607008961705,4,,1634.5631313131314,,,1666.585380190797,1666.585380190797,0
Boerum Hill,-38.47236873999997,28.07363443248031,1,2735.8333333333335,2988.8333333333335,2807.7115606182783,2874.077912628143,2793.140754769921,2735.8333333333335,4
Borough Park,-38.47623871568597,28.03371337013304,1,1623.5833333333333,1667.8333333333333,1680.401038560741,2496.732923854819,1685.1302897627065,1623.5833333333333,0
Breezy Point,-38.42888298428566,27.98543785512025,3,,1751.7777777777776,,,1734.8021133958634,1734.8021133958634,1
Briarwood,-38.38348641790391,28.090023037368713,3,1710.0,1773.25,1810.3773011870037,1701.1475599591058,1754.4448577040243,1710.0,1
Brighton Beach,-38.46312509274489,27.99874153059082,1,1895.0833333333333,1905.2129629629628,1914.4499397610282,1654.9090989942129,1931.6260782581614,1895.0833333333333,2
Broad Channel,-38.384686738644845,28.021021034450616,3,,1673.361111111111,,,1722.0313104858108,1722.0313104858108,1
