Neighborhood,subway_dist,quantile
Allerton,0.0027973344976945647,1
Alley Pond Park,0.03202450378845322,3
Arden Heights,0.009467081272745405,2
Arrochar,0.008373066018474982,2
Arverne,0.0027868878906864548,1
Astoria,0.0032660477394006273,1
Bath Beach,0.004228859760108348,1
Battery Park City,0.002317306252031876,0
Bay Ridge,0.0033756280759248726,1
Bay Terrace,0.029384520440088508,3
"Bay Terrace, Staten Island",0.003255291530106578,1
Baychester,0.0038992919534582508,1
Bayside,0.027952852591803006,3
Bayswater,0.004772772490286413,2
Bedford-Stuyvesant,0.0021985281556382644,0
Belle Harbor,0.008641755914130555,2
Bellerose,0.03322663344105066,3
Belmont,0.005448351782467732,2
Bensonhurst,0.0021576302697347933,0
Bergen Beach,0.019301867571496833,3
Bloomfield,0.04888191597540864,3
Boerum Hill,0.0012407738163165624,0
Borough Park,0.002076175681462568,0
Breezy Point,0.025977799202402792,3
Briarwood,0.002305486916990737,0
Brighton Beach,0.0015170127398771006,0
Broad Channel,0.010243934129928951,2
Bronx Park,0.004143149485054625,1
Bronxdale,0.0013410570680640061,0
Brooklyn Heights,0.0013970761955312276,0
Brownsville,0.0024405072225590248,0
Bull's Head,0.03216280469552101,3
Bushwick,0.0018136459768369497,0
Cambria Heights,0.02766555539267662,3
Canarsie,0.007518569310548603,2
Carroll Gardens,0.0015511683877744771,0
Castle Hill,0.010615149119659223,3
Castleton Corners,0.019976752360476014,3
Central Park,0.002337131020832374,0
Charleston,0.01524723814549833,3
Chelsea,0.0018387949666282856,0
"Chelsea, Staten Island",0.03450734275228473,3
Chinatown,0.0016227018329861688,0
City Island,0.020832113686625717,3
Civic Center,0.0010924046785037948,0
Claremont Village,0.0035379826438454993,1
Clason Point,0.012544119460677643,3
Clifton,0.004630141336020704,2
Clinton Hill,0.00272254730836347,1
Co-op City,0.0071184695448207385,2
Cobble Hill,0.0023959514441800403,0
College Point,0.01635683894327867,3
Columbia St,0.006762401951271049,2
Concord,0.0031276848429077023,1
Concourse,0.0016324412142779642,0
Concourse Village,0.00251618268337724,1
Coney Island,0.006912171042453126,2
Corona,0.004525463037623456,1
Country Club,0.007168608062653806,2
Crotona Park,0.004142301931775387,1
Crown Heights,0.002278742732845679,0
Cunningham Park,0.015936208363515274,3
Cypress Hills,0.001598455922425745,0
DUMBO,0.0023045833577118313,0
Ditmars Steinway,0.0066158574317191,2
Dongan Hills,0.004832965951026922,2
Douglaston,0.0397042857854446,3
Downtown Brooklyn,0.0009255165237989337,0
Dyker Heights,0.00568192168609896,2
East Elmhurst,0.00893265784307216,2
East Flatbush,0.00616234494282743,2
East Harlem,0.002492543585579025,1
East Morrisania,0.00207703225048321,0
East New York,0.006341090872282178,2
East Village,0.0033697236076225207,1
Eastchester,0.004188909567429373,1
Edenwald,0.003788257158060102,1
Edgemere,0.0036546290250326916,1
Ellis Island,0.014826492062266192,3
Elmhurst,0.003165944424347816,1
Eltingville,0.005274358300725422,2
Emerson Hill,0.020124969860567284,3
Far Rockaway,0.004779221477490615,2
Ferry Point Park,0.01758073287499144,3
Fieldston,0.004407790752823317,1
Financial District,0.000977120563115792,0
Flatbush,0.0019368518006921628,0
Flatiron District,0.0008245508862592412,0
Flatlands,0.010937272527429804,3
Floral Park,0.04379152965719621,3
Floyd Bennett Field,0.02708151682812417,3
Flushing,0.011660758210586689,3
Flushing Meadows Corona Park,0.005130738072072898,2
Fordham,0.0021528063535439864,0
Forest Hills,0.003990684926274556,1
Forest Park,0.004846160101753741,2
Fort Greene,0.001958185761396198,0
Fort Hamilton,0.0034590469774594406,1
Fort Wadsworth,0.013591974849355369,3
Fresh Meadows,0.017239768669661964,3
Freshkills Park,0.022993026173765384,3
Gerritsen Beach,0.014339570327026721,3
Glen Oaks,0.043784953438120076,3
Glendale,0.006865866351336287,2
Governors Island,0.009343781060016772,2
Gowanus,0.0020040131211326397,0
Gramercy,0.0016226275889931205,0
Graniteville,0.036049319608771155,3
Grant City,0.002037749571772858,0
Gravesend,0.0025694529943521963,1
Great Kills,0.005255151730602535,2
Great Kills Park,0.009672385416707169,2
Green-Wood Cemetery,0.0035750170106008654,1
Greenpoint,0.004131105575878101,1
Greenwich Village,0.0014673134757953227,0
Grymes Hill,0.009834956054775034,2
Harlem,0.0014302983563467184,0
Hart Island,0.030604807418904104,3
Hell's Kitchen,0.002458962970914574,0
Highbridge,0.003469437040427363,1
Hollis,0.008139918756985538,2
Hollis Hills,0.020296906343030125,3
Holliswood,0.008883595973807399,2
Howard Beach,0.007566954019945601,2
Howland Hook,0.052202997485715004,3
Huguenot,0.006769129627894027,2
Hunts Point,0.007429438013760391,2
Inwood,0.002337333922425062,0
Jackson Heights,0.002647790155662075,1
Jamaica,0.011725815891148754,3
Jamaica Bay,0.018874474748392614,3
Jamaica Estates,0.005738451357455742,2
Jamaica Hills,0.003487595757752057,1
John F. Kennedy International Airport,0.021283434709450526,3
Kensington,0.002389871443778971,0
Kew Gardens,0.002743331272493439,1
Kew Gardens Hills,0.008758183794225969,2
Kingsbridge,0.002531975316724649,1
Kips Bay,0.0040150826062209325,1
LaGuardia Airport,0.015895149238698305,3
Latourette Park,0.013153904020247763,3
Laurelton,0.03250839535687962,3
Lighthouse Hill,0.008855853076157891,2
Little Italy,0.0010413513531492432,0
Little Neck,0.04519885709660536,3
Long Island City,0.003174362282889298,1
Longwood,0.0019401415066419782,0
Lower East Side,0.0027576684430549174,1
Manhattan Beach,0.00728722766704089,2
Marble Hill,0.0018394166875920425,0
Marine Park,0.015625496521415295,3
Mariners Harbor,0.04260107195394977,3
Maspeth,0.00900336388667087,2
Melrose,0.0029167818449814358,1
Middle Village,0.006366885203402612,2
Midland Beach,0.00883838625307168,2
Midtown,0.0013134057165614414,0
Midwood,0.0030439254397134287,1
Mill Basin,0.02202757306694341,3
Morningside Heights,0.001722021214885618,0
Morris Heights,0.003371666703678604,1
Morris Park,0.0045870483890380655,1
Morrisania,0.004604273129706734,2
Mott Haven,0.0013880107153729376,0
Mount Eden,0.0012913415878182124,0
Mount Hope,0.0014294646173030892,0
Murray Hill,0.0024598408309229503,0
Navy Yard,0.0068090237289107685,2
Neponsit,0.015005873952683577,3
New Brighton,0.008365981696050491,2
New Dorp,0.002688989141959991,1
New Dorp Beach,0.00854573409347494,2
New Springville,0.02163798949693287,3
NoHo,0.0006159651458954667,0
North Riverdale,0.012271123919467254,3
Norwood,0.0019261797300151036,0
Oakwood,0.006907161557103965,2
Olinville,0.0016395122331225138,0
Ozone Park,0.00267536894209098,1
Park Hill,0.004818890909694563,2
Park Slope,0.0019902766146431207,0
Parkchester,0.002657424683195945,1
Pelham Bay,0.0026091650305535333,1
Pelham Bay Park,0.0128813632802252,3
Pelham Gardens,0.004432297319757053,1
Pleasant Plains,0.003733202009682991,1
Plum Beach,0.019899223988375486,3
Port Ivory,0.05615636014505151,3
Port Morris,0.0032236737504171657,1
Port Richmond,0.03233191443705267,3
Prince's Bay,0.004784774586543835,2
Prospect Heights,0.0013623397055525528,0
Prospect Park,0.002503909275103878,1
Prospect-Lefferts Gardens,0.002572829003351672,1
Queens Village,0.021628454101790005,3
Randall Manor,0.01916335155075294,3
Randall's Island,0.00816192364821894,2
Red Hook,0.006396708503738284,2
Rego Park,0.003575524831358993,1
Richmond Hill,0.0030957947906783165,1
Richmondtown,0.00496166343452988,2
Ridgewood,0.0028864610067779366,1
Rikers Island,0.01636460303679575,3
Riverdale,0.008164205806550077,2
Rockaway Beach,0.0025161394806724963,1
Rockaway Park,0.0023310257265891287,0
Roosevelt Island,0.0036576136974277493,1
Rosebank,0.005623742353160016,2
Rosedale,0.036411324214328,3
Rossville,0.01404088531517767,3
Schuylerville,0.005139979388907297,2
Sea Gate,0.013318521420117121,3
Sheepshead Bay,0.0051177217142592225,2
Shore Acres,0.009403952901457643,2
Silver Lake,0.01171796111534084,3
SoHo,0.0009091867093364674,0
Soundview,0.0035187660048552408,1
South Beach,0.0054074661706915664,2
South Ozone Park,0.010496693687412914,2
South Slope,0.0014569722213865178,0
Springfield Gardens,0.03070933740732692,3
Spuyten Duyvil,0.0053723309274707545,2
St. Albans,0.015368833339005671,3
St. George,0.002862817688637522,1
Stapleton,0.00183602151512078,0
Stuyvesant Town,0.0031616874169012547,1
Sunnyside,0.003417265166163695,1
Sunset Park,0.00288655923183564,1
Theater District,0.0005638754657440161,0
Throgs Neck,0.01760488088003849,3
Todt Hill,0.007702243248953682,2
Tompkinsville,0.00630675474276072,2
Tottenville,0.005771708564996932,2
Tremont,0.005424972434978682,2
Tribeca,0.0007428460326504767,0
Two Bridges,0.0032939494119077813,1
Unionport,0.004276531898493911,1
University Heights,0.0028521527260609875,1
Upper East Side,0.001979950487438227,0
Upper West Side,0.001957829472540778,0
Van Cortlandt Park,0.00729508785580008,2
Van Nest,0.0035938904456722606,1
Vinegar Hill,0.0034710218069265515,1
Wakefield,0.003258240721608045,1
Washington Heights,0.0015445749611142138,0
West Brighton,0.018378533135965543,3
West Farms,0.0018101755795425925,0
West Village,0.00172734347304287,0
Westchester Square,0.0023677436287695467,0
Westerleigh,0.02962544553384977,3
Whitestone,0.021099119813259983,3
Williamsbridge,0.003888527409252368,1
Williamsburg,0.0024735547638835313,0
Willowbrook,0.020708130029562805,3
Windsor Terrace,0.001711047944334406,0
Woodhaven,0.0025158977661791124,1
Woodlawn,0.004669827477782206,2
Woodrow,0.006260218275389004,2
Woodside,0.0019191061605396732,0
