Neighborhood,Borough,Longitude,Latitude,Borough_code,venue_count,category_count
Allerton,Bronx,-73.85842369722872,40.865255759416264,0,21.0,0.3902439024390244
Alley Pond Park,Queens,-73.74743524515948,40.75117125122094,3,8.0,0.25
Arden Heights,Staten Island,-74.18149300000006,40.553635052258876,4,5.0,0.2
Arlington,Staten Island,-74.15944692603162,40.642855747777546,4,,
Arrochar,Staten Island,-74.07332744672698,40.59241714766734,4,6.0,0.23076923076923078
Arverne,Queens,-73.79671792913538,40.59463175778865,3,15.0,0.4
Astoria,Queens,-73.91946504447587,40.765806315969975,3,100.0,0.4666666666666667
Bath Beach,Brooklyn,-74.00662241817098,40.603360712937594,1,23.0,0.5116279069767442
Battery Park City,Manhattan,-74.01589127312252,40.70959851785884,2,100.0,0.49166666666666664
Bay Ridge,Brooklyn,-74.02820222536477,40.630071134953454,1,46.0,0.5
Bay Terrace,Queens,-73.78305562268719,40.78526339844965,3,19.0,0.41025641025641024
"Bay Terrace, Staten Island",Staten Island,-74.1382115621478,40.55842650709875,4,7.0,0.2222222222222222
Baychester,Bronx,-73.8413778913129,40.870347873209795,0,17.0,0.40540540540540543
Bayside,Queens,-73.76802403939348,40.75868744933895,3,39.0,0.4745762711864407
Bayswater,Queens,-73.76381492601382,40.605257827725126,3,1.0,0.047619047619047616
Bayswater,Queens,-73.7703425990005,40.61788929669498,3,1.0,0.047619047619047616
Bedford-Stuyvesant,Brooklyn,-73.93368908718017,40.68845750000025,1,26.0,0.41304347826086957
Belle Harbor,Queens,-73.85173807635587,40.575868392527596,3,20.0,0.3
Bellerose,Queens,-73.72865500241568,40.73832344512246,3,5.0,0.16
Belmont,Bronx,-73.88888011193228,40.853699516429884,0,51.0,0.29577464788732394
Bensonhurst,Brooklyn,-73.9923573318367,40.613310776931,1,22.0,0.4523809523809524
Bergen Beach,Brooklyn,-73.9041411913902,40.6194593707125,1,5.0,0.2
Bloomfield,Staten Island,-74.18564814187297,40.617492883502976,4,1.0,0.047619047619047616
Boerum Hill,Brooklyn,-73.98532449999995,40.686426713739586,1,100.0,0.5166666666666667
Borough Park,Brooklyn,-73.99276676093456,40.62857010164209,1,19.0,0.358974358974359
Breezy Point,Queens,-73.90169804670319,40.5586055871308,3,1.0,0.047619047619047616
Briarwood,Queens,-73.81439695750751,40.71017831502712,3,14.0,0.4117647058823529
Brighton Beach,Brooklyn,-73.96754825527863,40.577886276218585,1,27.0,0.46808510638297873
Broad Channel,Queens,-73.83815834351233,40.592772967177424,3,4.0,0.125
Broad Channel,Queens,-73.8124326803556,40.60129843274014,3,4.0,0.125
Broad Channel,Queens,-73.82728076405513,40.60689438698541,3,4.0,0.125
Broad Channel,Queens,-73.82706274932323,40.609121251353514,3,4.0,0.125
Broad Channel,Queens,-73.79936414583466,40.6071227381719,3,4.0,0.125
Broad Channel,Queens,-73.83310274764548,40.607931188685455,3,4.0,0.125
Broad Channel,Queens,-73.79075506557393,40.61519944873007,3,4.0,0.125
Broad Channel,Queens,-73.8006592262227,40.62034810411967,3,4.0,0.125
Broad Channel,Queens,-73.81377321749315,40.62379559929256,3,4.0,0.125
Broad Channel,Queens,-73.8244637262307,40.61727000521662,3,4.0,0.125
Bronx Park,Bronx,-73.87606555916162,40.86003456087607,0,14.0,0.17647058823529413
Bronxdale,Bronx,-73.86316821252501,40.853938813263426,0,35.0,0.5454545454545454
Brooklyn Heights,Brooklyn,-73.99722747985555,40.69653412904658,1,77.0,0.5463917525773195
